variabel,num_rules,reg_lambda,valid_rmse_normalized
Temperature,3,0.0001,0.0094
Temperature,3,0.001,0.0093
Temperature,3,0.01,0.0137
Temperature,3,0.05,0.0252
Temperature,5,0.0001,0.0258
Temperature,5,0.001,0.0092
Temperature,5,0.01,0.0145
Temperature,5,0.05,0.0247
Temperature,7,0.0001,0.0172
Temperature,7,0.001,0.0179
Temperature,7,0.01,0.0207
Temperature,7,0.05,0.0227
Humidity,3,0.0001,0.0112
Humidity,3,0.001,0.0113
Humidity,3,0.01,0.0187
Humidity,3,0.05,0.0175
Humidity,5,0.0001,0.0131
Humidity,5,0.001,0.0126
Humidity,5,0.01,0.0194
Humidity,5,0.05,0.0199
Humidity,7,0.0001,0.0129
Humidity,7,0.001,0.0129
Humidity,7,0.01,0.0234
Humidity,7,0.05,0.0185
Pressure,3,0.0001,0.0293
Pressure,3,0.001,0.0096
Pressure,3,0.01,0.009
Pressure,3,0.05,0.0216
Pressure,5,0.0001,0.0089
Pressure,5,0.001,0.0096
Pressure,5,0.01,0.014
Pressure,5,0.05,0.0396
Pressure,7,0.0001,0.0285
Pressure,7,0.001,0.0096
Pressure,7,0.01,0.0199
Pressure,7,0.05,0.0195
WindSpeed,3,0.0001,0.069
WindSpeed,3,0.001,0.0719
WindSpeed,3,0.01,0.0701
WindSpeed,3,0.05,0.0983
WindSpeed,5,0.0001,0.1147
WindSpeed,5,0.001,0.1707
WindSpeed,5,0.01,0.07
WindSpeed,5,0.05,0.0858
WindSpeed,7,0.0001,0.1041
WindSpeed,7,0.001,0.0792
WindSpeed,7,0.01,0.0728
WindSpeed,7,0.05,0.0967
Irradiance,3,0.0001,0.0367
Irradiance,3,0.001,0.0328
Irradiance,3,0.01,0.0504
Irradiance,3,0.05,0.0388
Irradiance,5,0.0001,0.0333
Irradiance,5,0.001,0.0505
Irradiance,5,0.01,0.033
Irradiance,5,0.05,0.0426
Irradiance,7,0.0001,0.0322
Irradiance,7,0.001,0.0371
Irradiance,7,0.01,0.0499
Irradiance,7,0.05,0.0339
